Feature,HepG2_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value,B16_Norm_Feature_Value,PC3_Norm_Feature_Value
P_charged_centers,0.0,1.0,1.0,1.0,1.0,1.0
cLogP,1.0,0.5543116490166415,0.5729476153244722,0.5729476153244722,,1.0
Hbond_D,0.0,,,,0.0,0.0
Hbond_A,1.0,,,,,
Double_bonds,1.0,1.0,,,1.0,0.0
NP_ratio,1.0,1.0,0.0,0.5,1.0,1.0
Chol_DMG-PEG_ratio,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551,0.1836734693877551,0.1836734693877551
Dlin-MC3+Helper lipid percentage,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0
Dlin-MC3_Helper lipid_ratio,0.0,0.04522613065326633,0.0,0.0,0.04522613065326633,0.0
N_charged_centers,,,,,0.0,0.0
Total_Carbon_Tails,,,,,,0.0
